시점,인구밀도,지역별
2022.03,1044.42,울산
2022.04,1044.18,울산
2022.05,1043.93,울산
2022.06,1043.69,울산
2022.07,1043.45,울산
2022.08,1043.21,울산
2022.09,1042.97,울산
2022.10,1042.72,울산
2022.11,1042.48,울산
2022.12,1042.24,울산
2023.01,1042.0,울산
2015.01,2755.5,인천
2015.02,2754.32,인천
2015.03,2753.15,인천
2015.04,2751.97,인천
2015.05,2750.8,인천
2015.06,2749.62,인천
2015.07,2748.45,인천
2015.08,2747.28,인천
2015.09,2746.10,인천
2015.10,2744.93,인천
2015.11,2743.75,인천
2015.12,2742.58,인천
2016.01,2741.4,인천
2016.02,2742.31,인천
2016.03,2743.22,인천
2016.04,2744.12,인천
2016.05,2745.03,인천
2016.06,2745.94,인천
2016.07,2746.85,인천
2016.08,2747.76,인천
2016.09,2748.67,인천
2016.10,2749.58,인천
2016.11,2750.48,인천
2016.12,2751.39,인천
2017.01,2752.3,인천
2017.02,2753.06,인천
2017.03,2753.82,인천
2017.04,2754.58,인천
2017.05,2755.33,인천
2017.06,2756.09,인천
2017.07,2756.85,인천
2017.08,2757.61,인천
